observation_date,NYGDPMKTPCDWLD
1960-01-01,1371947205151.18
1961-01-01,1445950587026.22
1962-01-01,1550597670600.03
1963-01-01,1669569735937.23
1964-01-01,1830168405451.36
1965-01-01,1994297576262.09
1966-01-01,2161754227675.22
1967-01-01,2293943739361.92
1968-01-01,2478900302001.24
1969-01-01,2738143638273.34
1970-01-01,3003116289069.99
1971-01-01,3318577763684.84
1972-01-01,3833100090142.99
1973-01-01,4687590908817.54
1974-01-01,5418369997022.54
1975-01-01,6033156160029.93
1976-01-01,6558692084468.89
1977-01-01,7414824793154.84
1978-01-01,8778339992333.91
1979-01-01,10153805685261.70
1980-01-01,11449695442678.00
1981-01-01,11839946290807.00
1982-01-01,11716617789328.50
1983-01-01,11960039294489.30
1984-01-01,12424879538978.70
1985-01-01,13013695543914.60
1986-01-01,15344248521526.30
1987-01-01,17466868979760.80
1988-01-01,19517437502346.60
1989-01-01,20386716203505.20
1990-01-01,22987402273855.30
1991-01-01,23911650750982.30
1992-01-01,25534209067457.60
1993-01-01,25958546729023.50
1994-01-01,27941899637871.30
1995-01-01,31149677985790.30
1996-01-01,31866900968539.20
1997-01-01,31760810644454.60
1998-01-01,31702676349248.10
1999-01-01,32747088959180.20
2000-01-01,33855853033266.60
2001-01-01,33646060924936.80
2002-01-01,34940171807391.60
2003-01-01,39181755907935.40
2004-01-01,44151098975078.00
2005-01-01,47811684840222.70
2006-01-01,51815358465522.10
2007-01-01,58389218140008.60
2008-01-01,64152276357316.90
2009-01-01,60814498796339.00
2010-01-01,66609708734786.20
2011-01-01,74080837776246.30
2012-01-01,75705854038889.09
2013-01-01,77873446166547.00
2014-01-01,80020337644636.20
2015-01-01,75472473882835.09
2016-01-01,76702553625899.09
2017-01-01,81712043350515.41
2018-01-01,86884839554431.50
2019-01-01,88149850742945.91
2020-01-01,85763013427792.91
2021-01-01,97848299706454.80
2022-01-01,101770911729948.00
2023-01-01,106171667873321.00
